date,year,month,month_name,commodity,avg_price_ngn,mom_pct,yoy_pct,highest_state,highest_price,lowest_state,lowest_price
2025-04-01,2025,4,April,Chicken Meat Frozen,5740.15,1.136,18.8651,Enugu,8216.56,Gombe,4600.0
2025-04-01,2025,4,April,Chicken Wings,4771.92,2.1538,43.288,Ogun,6324.11,Yobe,3175.0
2025-04-01,2025,4,April,Crayfish Small White,6655.66,-0.0201,,Kogi,8000.0,Akwa Ibom,4576.03
2025-04-01,2025,4,April,Dried Fish Bonga,6657.74,2.5249,,Ebonyi,10000.0,Osun,4500.0
2025-04-01,2025,4,April,Evaporated Milk Peak 150g,994.19,-0.4992,36.9901,Enugu,1302.83,Oyo,860.0
2025-04-01,2025,4,April,Evaporated Milk Three Crown 160g,888.91,1.9235,,Borno,1184.25,Osun,750.0
2025-04-01,2025,4,April,Garri White,1345.1,-1.3105,57.9108,Abuja,1902.0,Ondo,1000.0
2025-04-01,2025,4,April,Garri Yellow,1422.34,-2.3555,56.3413,Yobe,2060.0,Oyo,1100.0
2025-04-01,2025,4,April,Ginger Fresh,4970.66,8.0524,,Ebonyi,6413.27,Adamawa,3800.0
2025-04-01,2025,4,April,Goat Meat Bone-In,6708.45,-2.6697,,Imo,9200.0,Kogi,4000.0
2025-04-01,2025,4,April,Groundnut Oil 75cl,3250.32,0.9787,,Ekiti,4200.0,Abia,2335.05
2025-04-01,2025,4,April,Groundnuts Roasted 75cl,2545.72,2.3331,,Bayelsa,3223.21,Yobe,2100.0
2025-04-01,2025,4,April,Irish Potato,1948.61,3.5526,37.8506,Anambra,3044.25,Abuja,1200.0
2025-04-01,2025,4,April,Mackerel Frozen,5417.4,-1.1899,67.9821,Plateau,9000.0,Oyo,3500.0
2025-04-01,2025,4,April,Maize White Grain,1239.61,-3.0615,55.4157,Imo,2000.0,Yobe,858.67
2025-04-01,2025,4,April,Onions Fresh,1503.56,4.789,47.5771,Abia,2840.42,Niger,850.0
2025-04-01,2025,4,April,Palm Oil 75cl,2516.36,0.1825,53.9947,Enugu,3216.49,Taraba,1795.83
2025-04-01,2025,4,April,Plantain Ripe,2057.4,2.7371,103.894,Plateau,2696.63,Kano,1650.58
2025-04-01,2025,4,April,Plantain Unripe,2231.81,0.7786,123.0899,Plateau,2904.77,Kano,1566.67
2025-04-01,2025,4,April,Rice Local Broken,2517.89,-5.7582,,Abuja,3800.0,Yobe,1610.02
2025-04-01,2025,4,April,Rice Local Short-Grain,2144.05,-4.3961,53.2186,Enugu,2600.0,Oyo,1800.0
2025-04-01,2025,4,April,Rice Long-Grain Imported,2574.11,-3.9332,45.3019,Cross River,3200.0,Taraba,2000.0
2025-04-01,2025,4,April,Semovita 1kg,2257.2,3.8691,,Adamawa,2887.0,Lagos,1900.0
2025-04-01,2025,4,April,Smoked Fish Mackerel,5920.84,2.9218,,Kwara,8258.0,Kebbi,3871.39
2025-04-01,2025,4,April,Sweet Potatoes,938.42,3.1365,16.2352,Delta,1588.38,Nasarawa,560.0
2025-04-01,2025,4,April,Tilapia Fresh,5489.28,0.5539,94.0447,Benue,8323.75,Yobe,4050.0
2025-04-01,2025,4,April,Titus Frozen,5939.29,1.3529,74.9396,Kwara,8927.29,Oyo,4490.0
2025-04-01,2025,4,April,Tomatoes Fresh,1283.57,10.9065,14.2563,Imo,1929.19,Kaduna,848.78
2025-04-01,2025,4,April,Vegetable Oil 75cl,3374.81,1.1328,62.3903,Ekiti,4800.0,Adamawa,2600.0
2025-04-01,2025,4,April,Watermelon Fresh Medium,2057.35,0.81,,Anambra,3057.15,Katsina,1384.6
2025-04-01,2025,4,April,Wheat Flour 2kg,4166.57,1.2718,61.9186,Imo,6247.72,Ondo,3300.0
2025-04-01,2025,4,April,Yam Tuber,2240.08,4.6216,98.1728,Imo,2985.28,Benue,1810.0
2025-05-01,2025,5,May,Agric Hen Eggs,265.73,2.4715,65.7571,Enugu,364.62,Kaduna,230.0
2025-05-01,2025,5,May,Agric Hen Eggs (Crate of 30 Pieces),6263.92,-0.2804,,Enugu,8349.15,Niger,5301.68
2025-05-01,2025,5,May,Beans Brown,2385.15,-1.8209,18.71,Abia,3548.02,Sokoto,1670.81
2025-05-01,2025,5,May,Beans White,2040.51,-2.7083,10.4269,Enugu,3021.67,Sokoto,1514.96
2025-05-01,2025,5,May,Beef Boneless,6662.92,1.809,29.6913,Imo,9053.45,Yobe,5250.0
2025-05-01,2025,5,May,Bread Sliced 450g,1657.59,-1.825,,Ebonyi,1975.76,Yobe,900.0
