commodity,target_date,as_of_date,month_sin,month_cos,lag1_mom_pct,lag2_mom_pct,lag3_mom_pct,lag12_mom_pct,fuel_mom_pct,fx_mom_pct,is_harvest_month,is_lean_month,is_import,n_history_months,source,target_mom_pct
Garri White,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,3.4996998308137295,-12.352160342497697,5.604738390816211,,,0.0,1,0,0,8,WB_RTFP,-0.09194932570496528
Goat Meat Bone-In,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,0.20352777562435698,-1.9772748533803508,1.2089578066471596,,,0.0,0,0,0,8,WB_RTFP,0.328833714349841
Maize White Grain,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,-0.48668315194280165,-2.0109886717905923,3.580574925424651,,,0.0,1,0,0,8,WB_RTFP,0.9382419043398427
Onions Fresh,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,-0.7935853907769519,-0.6606360771151287,2.113662106640235,,,0.0,0,1,0,8,WB_RTFP,-0.22054242638201993
Rice Long-Grain Imported,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,-0.8819528639441909,-1.5391334413043856,1.594988130951469,,,,0,0,1,8,WB_RTFP,-0.9778109267200907
Yam Tuber,2007-09-01,2007-08-01,-1.0,-1.8369701987210297e-16,-0.9946385806740343,1.2986664137214943,0.6680789898199535,,,0.0,1,0,0,8,WB_RTFP,0.3746337151929957
Agric Hen Eggs (Crate of 30 Pieces),2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,0.670533062609846,-0.32750440435654893,-0.6089895381991894,,,0.0,1,0,0,9,WB_RTFP,2.5057750755303587
Beans Brown,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,5.383579574802111,3.301370969495676,-6.026315866301147,,,0.0,1,0,0,9,WB_RTFP,6.534357636758492
Beef Boneless,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,0.10218382551072658,0.15027976943031707,-2.184773770209447,,,0.0,0,0,0,9,WB_RTFP,1.7512321575140488
Garri White,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,-0.09194932570496528,3.4996998308137295,-12.352160342497697,,,0.0,1,0,0,9,WB_RTFP,4.734965314086481
Goat Meat Bone-In,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,0.328833714349841,0.20352777562435698,-1.9772748533803508,,,0.0,0,0,0,9,WB_RTFP,1.8629307766364178
Maize White Grain,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,0.9382419043398427,-0.48668315194280165,-2.0109886717905923,,,0.0,1,0,0,9,WB_RTFP,4.507109391170183
Onions Fresh,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,-0.22054242638201993,-0.7935853907769519,-0.6606360771151287,,,0.0,0,0,0,9,WB_RTFP,2.8263520910426942
Rice Long-Grain Imported,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,-0.9778109267200907,-0.8819528639441909,-1.5391334413043856,,,,0,0,1,9,WB_RTFP,2.207551243811068
Yam Tuber,2007-10-01,2007-09-01,-0.8660254037844386,0.5000000000000001,0.3746337151929957,-0.9946385806740343,1.2986664137214943,,,0.0,1,0,0,9,WB_RTFP,2.500327289798654
Agric Hen Eggs (Crate of 30 Pieces),2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,2.5057750755303587,0.670533062609846,-0.32750440435654893,,,0.0,1,0,0,10,WB_RTFP,-1.9983972882381518
Beans Brown,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,6.534357636758492,5.383579574802111,3.301370969495676,,,0.0,1,0,0,10,WB_RTFP,-4.476453499663169
Beef Boneless,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,1.7512321575140488,0.10218382551072658,0.15027976943031707,,,0.0,1,0,0,10,WB_RTFP,-2.5976290870610597
Garri White,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,4.734965314086481,-0.09194932570496528,3.4996998308137295,,,0.0,1,0,0,10,WB_RTFP,-7.3202457929531395
Goat Meat Bone-In,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,1.8629307766364178,0.328833714349841,0.20352777562435698,,,0.0,1,0,0,10,WB_RTFP,-2.508399613117396
Maize White Grain,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,4.507109391170183,0.9382419043398427,-0.48668315194280165,,,0.0,1,0,0,10,WB_RTFP,-2.1188551400466826
Onions Fresh,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,2.8263520910426942,-0.22054242638201993,-0.7935853907769519,,,0.0,1,0,0,10,WB_RTFP,-1.6147901663367548
Rice Long-Grain Imported,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,2.207551243811068,-0.9778109267200907,-0.8819528639441909,,,,0,0,1,10,WB_RTFP,-2.300382353049568
Yam Tuber,2007-11-01,2007-10-01,-0.5000000000000004,0.8660254037844384,2.500327289798654,0.3746337151929957,-0.9946385806740343,,,0.0,1,0,0,10,WB_RTFP,-0.7704835880731786
Agric Hen Eggs (Crate of 30 Pieces),2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-1.9983972882381518,2.5057750755303587,0.670533062609846,,,0.0,1,0,0,11,WB_RTFP,1.620260599154788
Beans Brown,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-4.476453499663169,6.534357636758492,5.383579574802111,,,0.0,1,0,0,11,WB_RTFP,0.8593584046135305
Beef Boneless,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-2.5976290870610597,1.7512321575140488,0.10218382551072658,,,0.0,1,0,0,11,WB_RTFP,0.5065542204506279
Garri White,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-7.3202457929531395,4.734965314086481,-0.09194932570496528,,,0.0,1,0,0,11,WB_RTFP,-0.834633199778434
Goat Meat Bone-In,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-2.508399613117396,1.8629307766364178,0.328833714349841,,,0.0,1,0,0,11,WB_RTFP,0.4807808261806379
Maize White Grain,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-2.1188551400466826,4.507109391170183,0.9382419043398427,,,0.0,0,0,0,11,WB_RTFP,3.170899949415218
Onions Fresh,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-1.6147901663367548,2.8263520910426942,-0.22054242638201993,,,0.0,1,0,0,11,WB_RTFP,1.972514812376569
Rice Long-Grain Imported,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-2.300382353049568,2.207551243811068,-0.9778109267200907,,,,0,0,1,11,WB_RTFP,1.324675651211904
Yam Tuber,2007-12-01,2007-11-01,-2.4492935982947064e-16,1.0,-0.7704835880731786,2.500327289798654,0.3746337151929957,,,0.0,0,0,0,11,WB_RTFP,2.8795079675705715
Agric Hen Eggs (Crate of 30 Pieces),2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,1.620260599154788,-1.9983972882381518,2.5057750755303587,,,0.0,0,0,0,12,WB_RTFP,3.0890359203081807
Beans Brown,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,0.8593584046135305,-4.476453499663169,6.534357636758492,,,0.0,0,0,0,12,WB_RTFP,4.8840214336703935
Beef Boneless,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,0.5065542204506279,-2.5976290870610597,1.7512321575140488,,,0.0,1,0,0,12,WB_RTFP,2.5237801779463442
Garri White,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,-0.834633199778434,-7.3202457929531395,4.734965314086481,,,0.0,0,0,0,12,WB_RTFP,10.703723376912656
Goat Meat Bone-In,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,0.4807808261806379,-2.508399613117396,1.8629307766364178,,,0.0,1,0,0,12,WB_RTFP,2.431099527198377
Maize White Grain,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,3.170899949415218,-2.1188551400466826,4.507109391170183,,,0.0,0,0,0,12,WB_RTFP,7.950601435838922
Onions Fresh,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,1.972514812376569,-1.6147901663367548,2.8263520910426942,,,0.0,1,0,0,12,WB_RTFP,5.454860914967274
Rice Long-Grain Imported,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,1.324675651211904,-2.300382353049568,2.207551243811068,,,,0,0,1,12,WB_RTFP,5.92684406626991
